Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,Start Date
RG Sharma ,209,222,158,12,16,132.27,1,v Australia,Bengaluru,02-11-2013
SR Tendulkar ,175,210,141,19,4,124.11,2,v Australia,Hyderabad (Deccan),05-11-2009
RG Sharma ,171,205,163,13,7,104.9,1,v Australia,Perth,12-01-2016
GJ Bailey ,156,139,114,13,6,136.84,1,v India,Nagpur,30-10-2013
SPD Smith ,149,179,135,11,2,110.37,2,v India,Perth,12-01-2016
RG Sharma ,141,195,123,17,4,114.63,2,v Australia,Jaipur,16-10-2013
MS Dhoni ,139*,169,121,12,5,114.87,1,v Australia,Mohali,19-10-2013
RG Sharma ,138,228,139,9,4,99.28,1,v Australia,Melbourne,18-01-2015
RG Sharma ,133,204,129,10,6,103.1,2,v Australia,Sydney,12-01-2019
SE Marsh ,131,182,123,11,3,106.5,1,v India,Adelaide,15-01-2019
S Dhawan ,126,154,113,14,2,111.5,2,v Australia,Canberra,20-01-2016
RG Sharma ,125,165,109,11,5,114.67,2,v Australia,Nagpur,01-10-2017
MS Dhoni ,124,141,107,9,3,115.88,1,v Australia,Nagpur,28-10-2009
RG Sharma ,124,175,127,11,3,97.63,1,v Australia,Brisbane,15-01-2016
AJ Finch ,124,154,125,12,5,99.2,1,v India,Indore,24-09-2017
DA Warner ,124,134,119,12,4,104.2,1,v India,Bengaluru,28-09-2017
DA Warner ,122,171,113,9,3,107.96,1,v India,Sydney,23-01-2016
V Kohli ,118,193,121,11,1,97.52,2,v Australia,Visakhapatnam,20-10-2010
V Kohli ,117,174,117,7,2,100,1,v Australia,Melbourne,17-01-2016
JP Faulkner ,116,107,73,11,6,158.9,2,v India,Bengaluru,02-11-2013
V Kohli ,115*,104,66,18,1,174.24,2,v Australia,Nagpur,30-10-2013
SE Marsh ,112,180,112,8,2,100,1,v India,Hyderabad (Deccan),05-11-2009
GJ Bailey ,112,137,120,7,2,93.33,2,v India,Perth,12-01-2016
MJ Clarke ,111*,203,139,7,1,79.85,1,v India,Visakhapatnam,20-10-2010
AJ Finch ,107,153,107,9,2,100,1,v India,Canberra,20-01-2016
V Kohli ,106,131,92,11,1,115.21,2,v Australia,Canberra,20-01-2016
SPD Smith ,105,121,93,11,2,112.9,1,v India,Sydney,26-03-2015
MK Pandey ,104*,129,81,8,1,128.39,2,v Australia,Sydney,23-01-2016
RT Ponting ,104,172,118,7,1,88.13,1,v India,Ahmedabad,24-03-2011
V Kohli ,104,150,112,5,2,92.85,2,v Australia,Adelaide,15-01-2019
MR Marsh ,102*,126,84,9,2,121.42,1,v India,Sydney,23-01-2016
SR Watson ,102,104,94,13,3,108.51,1,v India,Nagpur,30-10-2013
V Kohli ,100*,82,52,8,7,192.3,2,v Australia,Jaipur,16-10-2013
S Dhawan ,100,152,102,11,0,98.03,2,v Australia,Nagpur,30-10-2013
RG Sharma ,99,142,108,9,1,91.66,2,v Australia,Sydney,23-01-2016
GJ Bailey ,98,122,94,7,3,104.25,1,v India,Ranchi,23-10-2013
AJ Finch ,96,161,127,5,2,75.59,2,v India,Melbourne,18-01-2015
GJ Maxwell ,96,104,83,8,3,115.66,2,v India,Melbourne,17-01-2016
S Dhawan ,95,112,86,14,0,110.46,2,v Australia,Jaipur,16-10-2013
AJ Finch ,94,140,96,10,3,97.91,1,v India,Bengaluru,28-09-2017
SR Watson ,93,102,89,9,3,104.49,1,v India,Hyderabad (Deccan),05-11-2009
DA Warner ,93,120,92,12,1,101.08,1,v India,Canberra,20-01-2016
GJ Bailey ,92*,79,50,8,5,184,1,v India,Jaipur,16-10-2013
G Gambhir ,92,140,111,7,0,82.88,2,v Australia,Adelaide,12-02-2012
GJ Maxwell ,92,95,77,6,5,119.48,1,v India,Ranchi,23-10-2013
V Kohli ,92,148,107,8,0,85.98,1,v Australia,Kolkata,21-09-2017
V Kohli ,91,148,97,9,1,93.81,1,v Australia,Perth,12-01-2016
CL White ,89*,62,49,6,6,181.63,1,v India,Visakhapatnam,20-10-2010
AM Rahane ,89,107,80,6,1,111.25,1,v Australia,Brisbane,15-01-2016
MS Dhoni ,87*,-,114,6,0,76.31,2,v Australia,Melbourne,18-01-2019
GJ Bailey ,85,89,82,10,0,103.65,1,v India,Pune,13-10-2013
PJ Hughes ,83,147,103,8,1,80.58,1,v India,Jaipur,16-10-2013
HH Pandya ,83,86,66,5,5,125.75,1,v Australia,Chennai,17-09-2017
MEK Hussey ,81*,130,82,3,1,98.78,1,v India,Delhi,31-10-2009
AJ Finch ,81,160,116,7,1,69.82,1,v India,Sydney,26-03-2015
RG Sharma ,79,119,89,7,3,88.76,2,v Australia,Nagpur,30-10-2013
MS Dhoni ,79,152,88,4,2,89.77,1,v Australia,Chennai,17-09-2017
Yuvraj Singh ,78,146,96,8,2,81.25,2,v Australia,Delhi,31-10-2009
S Dhawan ,78,69,56,7,3,139.28,2,v Australia,Sydney,23-01-2016
HH Pandya ,78,98,72,5,4,108.33,2,v Australia,Indore,24-09-2017
AC Voges ,76*,121,88,7,0,86.36,2,v India,Mohali,19-10-2013
GJ Bailey ,76*,78,58,6,1,131.03,2,v India,Brisbane,15-01-2016
G Gambhir ,76,136,80,6,0,95,1,v Australia,Nagpur,28-10-2009
RT Ponting ,74,113,85,8,2,87.05,1,v India,Vadodara,25-10-2009
MEK Hussey ,73,91,54,8,1,135.18,1,v India,Vadodara,25-10-2009
PSP Handscomb ,73,89,61,6,2,119.67,1,v India,Sydney,12-01-2019
DJ Hussey ,72,100,76,5,0,94.73,1,v India,Adelaide,12-02-2012
AJ Finch ,72,98,79,8,3,91.13,1,v India,Pune,13-10-2013
MS Dhoni ,71*,153,95,6,0,74.73,2,v Australia,Delhi,31-10-2009
SK Raina ,71*,76,47,9,1,151.06,2,v Australia,Visakhapatnam,20-10-2010
AJ Finch ,71,97,81,7,1,87.65,2,v India,Brisbane,15-01-2016
SE Marsh ,71,121,84,5,0,84.52,2,v India,Brisbane,15-01-2016
RG Sharma ,71,94,62,6,4,114.51,2,v Australia,Indore,24-09-2017
AM Rahane ,70,103,76,9,0,92.1,2,v Australia,Indore,24-09-2017
MEK Hussey ,69,121,77,7,0,89.61,1,v India,Visakhapatnam,20-10-2010
G Gambhir ,68,132,85,6,1,80,2,v Australia,Vadodara,25-10-2009
DA Warner ,68,98,66,7,0,103.03,1,v India,Sydney,26-02-2012
V Kohli ,68,121,73,9,0,93.15,1,v Australia,Mohali,19-10-2013
S Dhawan ,68,108,91,9,0,74.72,1,v Australia,Melbourne,17-01-2016
MEK Hussey ,67,101,65,5,0,103.07,1,v India,Centurion,28-09-2009
MS Wade ,67,92,69,4,2,97.1,1,v India,Melbourne,05-02-2012
KM Jadhav ,67,95,69,7,1,97.1,2,v Australia,Bengaluru,28-09-2017
PJ Forrest ,66,92,83,5,2,79.51,1,v India,Adelaide,12-02-2012
RT Ponting ,65,131,88,4,1,73.86,1,v India,Centurion,28-09-2009
MS Dhoni ,65,94,65,3,2,100,2,v Australia,Sydney,26-03-2015
RG Sharma ,65,93,55,1,5,118.18,2,v Australia,Bengaluru,28-09-2017
JP Faulkner ,64*,39,29,2,6,220.68,2,v India,Mohali,19-10-2013
SPD Smith ,63,111,71,5,0,88.73,1,v India,Indore,24-09-2017
MP Stoinis ,62*,97,65,6,3,95.38,2,v India,Kolkata,21-09-2017
SK Raina ,62,68,50,6,1,124,1,v Australia,Nagpur,28-10-2009
CL White ,62,101,71,3,1,87.32,1,v India,Mohali,02-11-2009
MS Dhoni ,62,73,38,7,2,163.15,1,v Australia,Bengaluru,02-11-2013
SE Marsh ,62,116,73,6,0,84.93,2,v India,Melbourne,17-01-2016
DJ Hussey ,61*,45,30,4,3,203.33,1,v India,Melbourne,05-02-2012
KM Jadhav ,61*,-,57,7,0,107.01,2,v Australia,Melbourne,18-01-2019
V Kohli ,61,121,85,6,0,71.76,2,v Australia,Pune,13-10-2013
AM Rahane ,61,93,74,7,0,82.43,2,v Australia,Nagpur,01-10-2017
S Dhawan ,60,82,57,9,0,105.26,1,v Australia,Bengaluru,02-11-2013
GJ Maxwell ,60,23,22,3,7,272.72,2,v India,Bengaluru,02-11-2013
RT Ponting ,59,124,92,4,0,64.13,1,v India,Delhi,31-10-2009
SK Raina ,59,76,59,3,3,100,2,v Australia,Hyderabad (Deccan),05-11-2009
MEK Hussey ,59,77,52,6,0,113.46,1,v India,Brisbane,19-02-2012
SR Watson ,59,60,53,6,3,111.32,1,v India,Jaipur,16-10-2013
