Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Opposition,Ground,Start Date
YS Chahal ,10,0,42,6,4.2,1,v Australia,Melbourne,18-01-2019
MA Starc ,10,2,43,6,4.3,1,v India,Melbourne,18-01-2015
BW Hilfenhaus ,9.3,1,33,5,3.47,2,v India,Brisbane,19-02-2012
DE Bollinger ,10,4,35,5,3.5,1,v India,Guwahati,08-11-2009
KW Richardson ,10,1,68,5,6.8,2,v India,Canberra,20-01-2016
CJ McKay ,4.4,0,20,4,4.28,2,v India,Melbourne,05-02-2012
JA Richardson ,10,2,26,4,2.6,2,v India,Sydney,12-01-2019
B Kumar ,10,0,45,4,4.5,1,v Australia,Adelaide,15-01-2019
MG Johnson ,10,1,46,4,4.6,1,v India,Mohali,19-10-2013
JW Hastings ,10,0,58,4,5.8,1,v India,Melbourne,17-01-2016
UT Yadav ,10,0,71,4,7.1,1,v Australia,Bengaluru,28-09-2017
UT Yadav ,9,0,72,4,8,1,v Australia,Sydney,26-03-2015
I Sharma ,10,0,77,4,7.7,1,v Australia,Canberra,20-01-2016
B Kumar ,6.1,2,9,3,1.45,2,v Australia,Kolkata,21-09-2017
R Vinay Kumar ,7,0,21,3,3,1,v Australia,Melbourne,05-02-2012
SR Watson ,7.4,1,29,3,3.78,2,v India,Mohali,02-11-2009
YS Chahal ,5,0,30,3,6,2,v Australia,Chennai,17-09-2017
RA Jadeja ,6.3,0,35,3,5.38,2,v Australia,Nagpur,28-10-2009
A Nehra ,8,0,37,3,4.62,1,v Australia,Mohali,02-11-2009
DE Bollinger ,9,2,38,3,4.22,2,v India,Mohali,02-11-2009
AR Patel ,10,0,38,3,3.8,1,v Australia,Nagpur,01-10-2017
MG Johnson ,9,1,39,3,4.33,1,v India,Guwahati,08-11-2009
Mohammed Shami ,8,1,42,3,5.25,1,v Australia,Ranchi,23-10-2013
V Sehwag ,9,0,43,3,4.77,1,v Australia,Sydney,26-02-2012
NM Coulter-Nile ,10,0,44,3,4.4,1,v India,Chennai,17-09-2017
SR Watson ,8.4,0,47,3,5.42,2,v India,Hyderabad (Deccan),05-11-2009
JP Faulkner ,8,0,47,3,5.87,2,v India,Pune,13-10-2013
B Lee ,10,0,49,3,4.9,2,v India,Brisbane,19-02-2012
I Sharma ,10,0,50,3,5,1,v Australia,Vadodara,25-10-2009
NM Coulter-Nile ,10,0,51,3,5.1,1,v India,Kolkata,21-09-2017
Mohammed Shami ,8.1,0,52,3,6.36,2,v Australia,Bengaluru,02-11-2013
CJ McKay ,9.4,1,53,3,5.48,2,v India,Adelaide,12-02-2012
Kuldeep Yadav ,10,1,54,3,5.4,2,v Australia,Kolkata,21-09-2017
CJ McKay ,10,0,55,3,5.5,2,v India,Visakhapatnam,20-10-2010
KW Richardson ,10,0,55,3,5.5,1,v India,Kolkata,21-09-2017
BB Sran ,9.2,0,56,3,6,2,v Australia,Perth,12-01-2016
KW Richardson ,10,0,58,3,5.8,2,v India,Bengaluru,28-09-2017
Mohammed Shami ,10,0,58,3,5.8,1,v Australia,Adelaide,15-01-2019
CJ McKay ,10,0,59,3,5.9,2,v India,Hyderabad (Deccan),05-11-2009
JP Faulkner ,9,1,59,3,6.55,2,v India,Sydney,26-03-2015
IK Pathan ,10,0,61,3,6.1,1,v Australia,Brisbane,19-02-2012
JW Hastings ,10,1,61,3,6.1,2,v India,Sydney,23-01-2016
UT Yadav ,10,1,67,3,6.7,1,v Australia,Canberra,20-01-2016
RA Jadeja ,10,0,73,3,7.3,2,v Australia,Bengaluru,02-11-2013
