Player,country,role,odi number,Matching_Name
Aaron Finch,aus,batsman,all,AJ Finch
Jason Behrendorff,aus,Bowler,all,JP Behrendorff
Alex Carey,aus,Wicketkeeper batsman,all,AT Carey 
Nathan Coulter-Nile,aus,Bowler,all,NM Coulter-Nile 
Pat Cummins,aus,Bowler,all,PJ Cummins 
Peter Handscomb,aus,batsman,all,PSP Handscomb 
Usman Khawaja,aus,batsman,all,UT Khawaja 
Nathan Lyon,aus,Bowler,all,NM Lyon 
Shaun Marsh,aus,batsman,all,SE Marsh 
Glenn Maxwell,aus,Batting allrounder,all,GJ Maxwell 
Jhye Richardson,aus,Bowler,all,JA Richardson 
Kane Richardson,aus,Bowler,all,KW Richardson 
Marcus Stoinis,aus,batsman,all,MP Stoinis 
Ashton Turner,aus,batsman,all,Ashton Turner
D'Arcy Short,aus,Bowler,all,D'Arcy Short
Adam Zampa,aus,batsman,all,A Zampa 
Virat Kohli,ind,batsman,all,V Kohli 
Jasprit Bumrah,ind,Bowler,all,JJ Bumrah 
Yuzvendra Chahal,ind,Bowler,all,YS Chahal 
Shikhar Dhawan,ind,batsman,all,S Dhawan 
MS Dhoni,ind,Wicketkeeper batsman,all,MS Dhoni 
Ravindra Jadeja,ind,Allrounder,all,RA Jadeja 
Kedar Jadhav,ind,Allrounder,all,KM Jadhav 
Siddarth Kaul,ind,Bowler,all,Siddarth Kaul
Kuldeep Yadav,ind,Bowler,all,Kuldeep Yadav 
Mohammed Shami,ind,Bowler,"1,2",Mohammed Shami 
Rishabh Pant,ind,Wicketkeeper batsman,all,Rishabh Pant
Vijay Shankar,ind,Allrounder,all,Vijay Shankar
Ambati Rayudu,ind,batsman,all,AT Rayudu 
Rohit Sharma,ind,batsman,all,RG Sharma 
Lokesh Rahul,ind,batsman,all,Lokesh Rahul
Bhuvneshwar Kumar,ind,Bowler,"3,4,5",B Kumar 
